2026-05-23 23:28:00: info | Add cargo started | app
2026-05-23 23:28:01: info | Speacial cargo | app
2026-05-23 23:28:03: info | Cargo name asf | app
2026-05-23 23:28:04: info | Cargo weight 3.0 | app
2026-05-23 23:28:04: info | Cargo planet va | app
2026-05-23 23:28:06: info | Cargo danger level 2 | app
2026-05-23 23:28:08: info | Cargo requires_cooling 1 | app
2026-05-23 23:28:08: info | DB updated | db
2026-05-23 23:28:08: info | Cargo Station: Item 9 was added | cargo_station
2026-05-23 23:29:49: info | Add cargo started | app
2026-05-23 23:29:50: info | Speacial cargo | app
2026-05-23 23:29:52: info | Cargo name asf | app
2026-05-23 23:29:54: info | Process stopped by user  | cargo_station
2026-05-24 15:07:08: info | Remove cargo started  | app
2026-05-24 15:08:53: info | Remove cargo started  | app
2026-05-24 15:13:43: info | DB updated | db
2026-05-24 15:14:41: info | Remove cargo started  | app
2026-05-24 15:14:46: info | DB updated | db
2026-05-24 15:14:46: info | Item ags was removed | cargo_station
2026-05-24 15:14:58: info | Remove cargo started  | app
2026-05-24 15:22:37: info | Remove cargo started  | app
2026-05-24 16:00:23: info | Add cargo started | app
2026-05-24 16:00:26: info | Cargo name asf | app
2026-05-24 16:00:26: info | Cargo weight 12.0 | app
2026-05-24 16:00:27: info | Cargo planet asf | app
2026-05-24 16:00:27: info | DB updated | db
2026-05-24 16:00:27: info | Cargo Station: Item 10 was added | cargo_station
2026-05-24 16:03:47: info | Remove cargo started  | app
2026-05-24 16:03:55: info | DB updated | db
2026-05-24 16:03:55: info | Item asf was removed | cargo_station
2026-05-24 16:04:00: info | Remove cargo started  | app
2026-05-24 16:04:16: info | Remove cargo started  | app
2026-05-24 16:04:17: info | DB updated | db
2026-05-24 16:04:17: info | Item vzzzzzz was removed | cargo_station
2026-05-24 16:05:23: info | Remove cargo started  | app
2026-05-24 16:05:25: info | DB updated | db
2026-05-24 16:05:25: info | Item agasgz was removed | cargo_station
2026-05-24 16:05:47: info | Remove cargo started  | app
